0.002042,0.000488,-0.0015,1.0024,-0.05061,-0.04984,-0.15055
0.003042,-0.000977,0.0005,1.0005,0.01043,0.0112,0.03255
0.00404,0.004395,0.0,0.9966,-0.11164,0.0112,-0.08952
0.00504,0.004395,-0.002,1.0039,-0.05061,0.0112,-0.08952
0.00604,0.006348,-0.0049,0.998,-0.05061,0.0112,-0.15055
0.00704,0.002441,-0.0044,1.001,-0.05061,0.0112,0.03255
0.00804,0.007324,-0.0044,1.0024,0.01043,-0.04984,-0.08952
0.00904,0.007812,-0.0049,1.0,-0.11164,0.07224,-0.08952
0.01004,0.005859,-0.002,1.002,-0.11164,0.0112,-0.02848
0.01104,0.009277,-0.0015,1.0029,0.01043,0.07224,-0.02848
0.01204,0.009277,-0.002,1.0029,-0.05061,0.0112,-0.08952
0.01304,0.004883,0.0,1.002,0.01043,0.07224,-0.02848
0.01404,0.001953,0.001,0.999,-0.05061,0.13327,-0.15055
0.01504,0.001465,0.0015,1.001,-0.11164,0.0112,-0.15055
0.01604,0.008301,-0.0054,0.9966,0.01043,0.07224,-0.15055
0.01704,0.001953,-0.0044,1.0029,0.01043,0.19431,-0.15055
0.01804,0.000977,0.0024,1.0015,0.01043,0.0112,-0.08952
0.01904,0.009277,-0.0054,0.9941,-0.05061,0.0112,-0.15055
0.02004,0.001953,0.0029,0.9966,-0.05061,0.31638,-0.21159
0.02104,0.000488,0.001,1.0093,0.01043,0.19431,-0.02848
0.02204,-0.000488,-0.0049,0.9995,-0.05061,0.0112,-0.02848
0.02304,-0.000488,-0.0015,1.0,0.01043,0.07224,-0.15055
0.02404,0.00293,0.001,0.9985,0.07146,0.0112,-0.15055
0.02504,0.005859,-0.0005,1.0024,0.07146,-0.04984,-0.08952
0.02604,0.007324,-0.0044,1.002,0.01043,0.07224,-0.15055
0.02704,0.003418,-0.0034,0.9995,0.01043,0.0112,-0.27262
0.02804,0.001953,0.0005,1.0073,0.01043,0.0112,-0.08952
0.02904,0.004883,-0.001,1.0024,-0.11164,-0.04984,-0.08952
0.03004,0.009766,-0.0054,0.998,0.01043,0.0112,-0.21159
0.03104,0.005859,-0.0005,1.002,-0.05061,-0.04984,-0.08952
0.03204,0.0,0.0029,1.002,0.07146,0.07224,-0.08952
0.03304,0.006836,-0.002,1.0029,0.01043,-0.11087,-0.02848
0.03404,0.003418,-0.002,0.9941,0.07146,0.07224,-0.21159
0.03504,0.004883,-0.0039,1.0073,-0.05061,0.0112,-0.02848
0.03604,-0.001465,0.0015,1.0049,-0.05061,0.0112,-0.15055
0.03704,0.004883,-0.001,0.9995,0.07146,0.0112,-0.02848
0.03804,0.000488,-0.0029,1.0049,-0.05061,0.07224,-0.08952
0.03904,-0.000488,-0.0034,1.0005,0.07146,0.0112,-0.15055
0.04104,0.005371,-0.0063,1.0015,0.01043,0.0112,-0.15055
